medicion,tiempo,lambda,reflectancia
1,0.11304109999946377,500.1707739569035,0.12241446312090845
1,0.11304109999946377,501.2930692423329,0.12514849669374337
1,0.11304109999946377,502.41570815929646,0.1261665238167396
1,0.11304109999946377,503.53869019754956,0.12531597625833651
1,0.11304109999946377,504.6620148468475,0.12403423377063495
1,0.11304109999946377,505.7856815969456,0.12381792513475617
1,0.11304109999946377,506.90968993759907,0.12461745245757908
1,0.11304109999946377,508.03403935856323,0.12553833104595685
1,0.11304109999946377,509.1587293495935,0.12648762156263665
1,0.11304109999946377,510.28375940044504,0.12726839871817378
1,0.11304109999946377,511.4091290008732,0.12684404949485076
1,0.11304109999946377,512.5348376406332,0.12517184430292266
1,0.11304109999946377,513.6608848094804,0.12386305028298437
1,0.11304109999946377,514.7872699971703,0.1239393240234737
1,0.11304109999946377,515.9139926934579,0.1241341714773831
1,0.11304109999946377,517.0410523880985,0.12267400763718801
1,0.11304109999946377,518.1684485708477,0.12004514351536312
1,0.11304109999946377,519.2961807314604,0.11804943588132308
1,0.11304109999946377,520.4242483596922,0.11703524547490003
1,0.11304109999946377,521.5526509452982,0.11615227871563968
1,0.11304109999946377,522.6813879780339,0.11512326385340216
1,0.11304109999946377,523.8104589476545,0.11381455289165375
1,0.11304109999946377,524.9398633439152,0.11153608056134434
1,0.11304109999946377,526.0696006565715,0.10874780382367638
1,0.11304109999946377,527.1996703753784,0.10693608109493692
1,0.11304109999946377,528.3300719900917,0.10581035899090531
1,0.11304109999946377,529.4608049904662,0.10408062343864273
1,0.11304109999946377,530.5918688662573,0.10234037165506624
1,0.11304109999946377,531.7232631072204,0.10169702773728649
1,0.11304109999946377,532.8549872031108,0.10097112623954334
1,0.11304109999946377,533.9870406436839,0.09839923634699076
1,0.11304109999946377,535.1194229186948,0.0950165052882168
1,0.11304109999946377,536.2521335178988,0.09358234586481921
1,0.11304109999946377,537.3851719310513,0.09467447109799197
1,0.11304109999946377,538.5185376479076,0.09611815856528483
1,0.11304109999946377,539.6522301582229,0.09609420468150241
1,0.11304109999946377,540.7862489517527,0.09482027916093408
1,0.11304109999946377,541.9205935182521,0.09353418332408875
1,0.11304109999946377,543.0552633474764,0.09342847822747968
1,0.11304109999946377,544.190257929181,0.0947203923626376
1,0.11304109999946377,545.3255767531211,0.09619753910615848
1,0.11304109999946377,546.4612193090522,0.09681853424899015
1,0.11304109999946377,547.5971850867293,0.09681743810954774
1,0.11304109999946377,548.733473575908,0.09673369421046092
1,0.11304109999946377,549.8700842663433,0.09703740987223873
1,0.11304109999946377,551.0070166477908,0.09816375739755755
1,0.11304109999946377,552.1442702100055,0.09992450212725512
1,0.11304109999946377,553.2818444427428,0.1016455416368446
1,0.11304109999946377,554.4197388357582,0.102789106906018
1,0.11304109999946377,555.5579528788068,0.10319443165022836
1,0.11304109999946377,556.6964860616439,0.10327707728523575
1,0.11304109999946377,557.8353378740248,0.10374295439829832
