wavelength_nm,reflectance,reflectance_std
420.08245629131693,0.030616421354230042,0.02809809525373227
420.5208653048485,0.03324014941764073,0.016371273940085727
420.9593352427558,0.035319192002279017,0.008030345056723048
421.3978660723832,0.03673248916445629,0.004109771510887451
421.83645776107505,0.03753991440581445,0.003819322545438631
422.27511027617567,0.037928569873441044,0.003936501251797982
422.7138235850294,0.03812220748532229,0.004069744778103528
423.1525976549806,0.03829856882615715,0.00457987652361101
423.5914324533736,0.03854341965087224,0.005125469772615564
424.0303279475528,0.03884921720373213,0.005300751820206047
424.46928410486237,0.039148591067839876,0.005029147132599936
424.9083008926468,0.03936227239915838,0.004462629393053366
425.3473782782504,0.03944009741228053,0.0038227742801364385
425.7865162290175,0.039381165156585,0.003306921426013062
426.2257147122924,0.039230454901681644,0.003046831478762091
426.66497369541946,0.03905851941846827,0.003061031811484252
427.1042931457431,0.03893506420596354,0.003243361689996096
427.5436730306075,0.03890664766204044,0.0034557277760390104
427.98311331735715,0.038985348131174144,0.0036159871466770158
428.4226139733363,0.03915067682184815,0.003705125258187545
428.8621749658894,0.0393623438682613,0.0037279530414292576
429.3017962623606,0.03957784238233107,0.0036777286158464688
429.74147783009437,0.03976753562541995,0.0035365493605105506
430.181219636435,0.03992174508868109,0.0033053149086904733
430.6210216487269,0.04004847412294788,0.003030087093098225
431.0608838343144,0.040164684284072674,0.0027946000680143996
431.50080616054174,0.040286254031966444,0.002667320149776567
431.94078859475337,0.04042113265310786,0.0026413539355446642
432.3808311042935,0.04056769179371315,0.0026462029863623896
432.8209336565066,0.04071757235514625,0.002619313788314887
433.26109621873695,0.040860691681986756,0.002550121644475637
433.70131875832897,0.04098979957378036,0.0024702190101380294
434.14160124262685,0.04110274670615826,0.002412428377711084
434.58194363897496,0.041202014975639994,0.0023745462136399616
435.0223459147178,0.041292455407810395,0.0023209870668106777
435.46280803719947,0.04137891646093404,0.0022163618711895094
435.9033299737645,0.04146518519386166,0.002055495297965446
436.34391169175717,0.041554619277169205,0.0018696467936794123
436.7845531585218,0.04165166064584856,0.0017074925699161218
437.2252543414028,0.04176282068795439,0.001599698677764418
437.66601520774435,0.04189607413938613,0.0015369100492554312
438.1068357248909,0.042058614928790705,0.0014886194532119116
438.5477158601868,0.04225394145641857,0.0014367144696218223
438.98865558097634,0.04247971055810978,0.0013830081542041384
439.42965485460394,0.042727564116938385,0.0013316910131402663
